"box","lat","lon","mnasc","area","count","lat1","lat2","lat3","lat4","lon1","lon2","lon3","lon4","arean","part","latmin","lonmin","ea","nfish","nfish.i","nfish.m","mass","mass.i","mass.m","reg","old.area","old.arean","area.part"
635,67.125,-13.75,78.6106951871658,605.010694250664,187,67,67,67.25,67.25,-14,-13.5,-13.5,-14,176.392894451467,1,15,30,13866.3680589062,141179647.143332,3953030.12001329,137226617.023318,3223.83159533209,45.7704416038682,3178.06115372823,5,605.010694250664,176.392894451467,1
636,67.125,-13.25,188.235714285714,605.010694250662,70,67,67,67.25,67.25,-13.5,-13,-13,-13.5,176.392894451466,1,15,30,33203.4424819964,338058983.696264,9465651.5434954,328593332.152769,7719.56337034485,109.598722514329,7609.96464783052,5,605.010694250662,176.392894451466,1
637,67.125,-12.75,0,605.010694250664,64,67,67,67.25,67.25,-13,-12.5,-12.5,-13,176.392894451467,1,15,30,0,0,0,0,0,0,0,5,605.010694250664,176.392894451467,1
675,67.375,-18.25,56.3823529411765,598.77309726649,85,67.25,67.25,67.5,67.5,-18.5,-18,-18,-18.5,174.574302157288,1,15,30,9842.90991869178,100215034.195055,2806020.95746155,97409013.2375938,2288.40629724272,32.4897140860369,2255.91658315668,5,598.77309726649,174.574302157288,1
676,67.375,-17.75,234.291603053435,598.77309726649,131,67.25,67.25,67.5,67.5,-18,-17.5,-17.5,-18,174.574302157288,1,15,30,40901.2931043657,416434217.211731,11660158.0819285,404774059.129802,9509.25869266118,135.007973220043,9374.25071944113,5,598.77309726649,174.574302157288,1
677,67.375,-17.25,103.347107438017,598.773097266486,121,67.25,67.25,67.5,67.5,-17.5,-17,-17,-17.5,174.574302157286,1,15,30,18041.7491609659,183691055.19002,5143349.54532055,178547705.644699,4194.57789762189,59.5526400926044,4135.02525752929,5,598.773097266486,174.574302157286,1
678,67.375,-16.75,91.4154285714286,598.77309726649,175,67.25,67.25,67.5,67.5,-17,-16.5,-16.5,-17,174.574302157288,1,15,30,15958.7846492665,162483469.07053,4549537.13397484,157933931.936555,3710.30351688679,52.6771406726658,3657.62637621412,5,598.77309726649,174.574302157288,1
679,67.375,-16.25,90.0076923076923,598.77309726649,130,67.25,67.25,67.5,67.5,-16.5,-16,-16,-16.5,174.574302157288,1,15,30,15713.0300734033,159981332.66705,4479477.31467741,155501855.352373,3653.16733219879,51.8659480506578,3601.30138414813,5,598.77309726649,174.574302157288,1
680,67.375,-15.75,252.536363636364,598.77309726649,275,67.25,67.25,67.5,67.5,-16,-15.5,-15.5,-16,174.574302157288,1,15,30,44086.3594511572,448862791.230384,12568158.1544507,436294633.075933,10249.7638832342,145.52131691689,10104.2425663173,5,598.77309726649,174.574302157288,1
681,67.375,-15.25,30.216935483871,598.77309726649,248,67.25,67.25,67.5,67.5,-15.5,-15,-15,-15.5,174.574302157288,1,15,30,5275.10042542856,53708138.5366307,1503827.87902566,52204310.657605,1226.42319515842,17.4121785135757,1209.01101664484,5,598.77309726649,174.574302157288,1
682,67.375,-14.75,6.6678431372549,598.773097266486,255,67.25,67.25,67.5,67.5,-15,-14.5,-14.5,-15,174.574302157286,1,15,30,1164.03406258053,11851547.39293,331843.327002041,11519704.065928,270.629610655661,3.84227166478792,266.787338990874,5,598.773097266486,174.574302157286,1
683,67.375,-14.25,54.3008163265306,598.77309726649,245,67.25,67.25,67.5,67.5,-14.5,-14,-14,-14.5,174.574302157288,1,15,30,9479.52711677513,96515272.6183679,2702427.6333143,93812844.9850536,2203.92238962953,31.2902513828749,2172.63213824665,5,598.77309726649,174.574302157288,1
684,67.375,-13.75,0,598.77309726649,34,67.25,67.25,67.5,67.5,-14,-13.5,-13.5,-14,174.574302157288,1,15,30,0,0,0,0,0,0,0,5,598.77309726649,174.574302157288,1
685,67.375,-13.25,0,598.773097266488,38,67.25,67.25,67.5,67.5,-13.5,-13,-13,-13.5,174.574302157287,1,15,30,0,0,0,0,0,0,0,5,598.773097266488,174.574302157287,1
